[3/28/2025, 1:08:59 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/22/2025, 7:39:09 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/22/2025, 7:39:09 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/22/2025, 7:39:24 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/22/2025, 7:39:24 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/22/2025, 7:43:15 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/22/2025, 7:43:15 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/22/2025, 7:46:08 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/22/2025, 7:46:08 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/22/2025, 7:53:51 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/22/2025, 7:53:51 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/22/2025, 11:50:07 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/22/2025, 11:50:07 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/22/2025, 11:56:15 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/22/2025, 11:56:15 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/22/2025, 11:56:20 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/22/2025, 11:56:20 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/22/2025, 11:56:24 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/22/2025, 11:56:24 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/22/2025, 11:56:30 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/22/2025, 11:56:30 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/22/2025, 11:56:34 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/22/2025, 11:56:34 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/22/2025, 11:58:30 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/22/2025, 11:58:30 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/22/2025, 11:59:05 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/22/2025, 11:59:05 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/22/2025, 11:59:26 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/22/2025, 11:59:26 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/22/2025, 11:59:38 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/22/2025, 11:59:38 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/22/2025, 11:59:42 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/22/2025, 11:59:42 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/23/2025, 12:40:41 AM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/23/2025, 12:40:41 AM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/23/2025, 12:43:12 AM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/23/2025, 12:43:12 AM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/23/2025, 12:44:46 AM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/23/2025, 12:44:46 AM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/23/2025, 12:45:36 AM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/23/2025, 12:45:36 AM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/23/2025, 12:45:40 AM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/23/2025, 12:45:40 AM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/23/2025, 12:45:46 AM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/23/2025, 12:45:46 AM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/23/2025, 12:45:51 AM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/23/2025, 12:45:51 AM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/23/2025, 12:46:24 AM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/23/2025, 12:46:24 AM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/23/2025, 12:46:29 AM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/23/2025, 12:46:29 AM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/23/2025, 12:46:31 AM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/23/2025, 12:46:31 AM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/23/2025, 12:47:14 AM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/23/2025, 12:47:14 AM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/23/2025, 2:05:19 AM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/23/2025, 2:05:19 AM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/23/2025, 2:04:16 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/23/2025, 2:04:16 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/23/2025, 2:06:05 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/23/2025, 2:06:05 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/23/2025, 2:08:44 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/23/2025, 2:08:44 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/23/2025, 2:09:09 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/23/2025, 2:09:09 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/23/2025, 2:11:37 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/23/2025, 2:11:37 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/23/2025, 2:12:40 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/23/2025, 2:12:40 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/23/2025, 2:13:34 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/23/2025, 2:13:34 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/23/2025, 2:13:38 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/23/2025, 2:13:38 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/23/2025, 2:14:19 PM] [INFO] [MESSAGEING_API] Connected to REDIS
[5/23/2025, 2:14:19 PM] [INFO] [MESSAGEING_API] API is running at http://localhost:4070
[5/23/2025, 2:14:23 PM] [INFO] [MESSAGEING_API] Connected to REDIS
