[10/25/2025, 10:29:04 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:13:12 PM] [INFO] [SET_PROJECT_BUDGET] Budget created successfully for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk with ID: 1
[10/27/2025, 11:13:21 PM] [INFO] [GET_PROJECT_BUDGET] Fetching budgets for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:13:21 PM] [INFO] [GET_PROJECT_BUDGET] Retrieved 1 budget(s) for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:19:19 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:19:23 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:19:38 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:20:11 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:20:21 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:24:56 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:25:08 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:25:11 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:25:25 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:25:33 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:25:37 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:25:41 PM] [INFO] [GET_PROJECT_BUDGET] Fetching budgets for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:25:41 PM] [ERROR] [PG_QUERY_FUNC] relation "projects_budgets" does not exist
[10/27/2025, 11:25:41 PM] [ERROR] [GET_PROJECT_BUDGET] relation "projects_budgets" does not exist
[10/27/2025, 11:25:50 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:26:08 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:26:10 PM] [INFO] [GET_PROJECT_BUDGET] Fetching bugets for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:26:10 PM] [INFO] [GET_PROJECT_BUDGET] No bugets found for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:26:14 PM] [INFO] [SET_PROJECT_BUDGET] Creating new budget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:26:14 PM] [INFO] [SET_PROJECT_BUDGET] Budget created successfully for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk with ID: 1
[10/27/2025, 11:26:16 PM] [INFO] [GET_PROJECT_BUDGET] Fetching bugets for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:26:16 PM] [INFO] [GET_PROJECT_BUDGET] Retrieved 1 budget(s) for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:26:48 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:26:54 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:27:00 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:27:36 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:27:45 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:27:53 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:28:23 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:28:31 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:30:22 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:30:37 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:30:39 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:30:41 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:30:43 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:30:54 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:30:59 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:31:10 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:31:15 PM] [INFO] [GET_PROJECT_BUDGET] Fetching budget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:31:15 PM] [ERROR] [PG_QUERY_FUNC] relation "projects_budgets" does not exist
[10/27/2025, 11:31:15 PM] [ERROR] [GET_PROJECT_BUDGET] relation "projects_budgets" does not exist
[10/27/2025, 11:31:33 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:31:34 PM] [INFO] [GET_PROJECT_BUDGET] Fetching budget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:31:34 PM] [INFO] [GET_PROJECT_BUDGET] Retrieved budget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:34:36 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:34:47 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:34:59 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:35:11 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:35:16 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:35:42 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:35:45 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:35:54 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:36:28 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:36:30 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:36:37 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:36:39 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:36:43 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:36:46 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:36:50 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:37:06 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:37:30 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:37:32 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:37:34 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:37:40 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:37:57 PM] [INFO] [SET_PROJECT_BUDGET] Creating new budget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:37:57 PM] [INFO] [SET_PROJECT_BUDGET] Budget created successfully for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk with ID: 1
[10/27/2025, 11:37:59 PM] [INFO] [GET_PROJECT_BUDGET] Fetching budget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:37:59 PM] [INFO] [GET_PROJECT_BUDGET] Retrieved budget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:38:23 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:38:25 PM] [INFO] [GET_PROJECT_BUDGET] Fetching budget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:38:25 PM] [INFO] [GET_PROJECT_BUDGET] Retrieved budget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:38:35 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:38:43 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:38:44 PM] [INFO] [GET_PROJECT_BUDGET] Fetching budget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:38:44 PM] [INFO] [GET_PROJECT_BUDGET] Retrieved budget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:41:13 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:41:18 PM] [INFO] [GET_PROJECT_buget] Fetching buget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:41:18 PM] [ERROR] [PG_QUERY_FUNC] column "buget_period" does not exist
[10/27/2025, 11:41:18 PM] [ERROR] [GET_PROJECT_buget] column "buget_period" does not exist
[10/27/2025, 11:44:36 PM] [INFO] [GET_PROJECT_buget] Fetching buget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:44:36 PM] [INFO] [GET_PROJECT_buget] No buget found for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:44:40 PM] [ERROR] [GET_PROJECT_buget] Assigner private token not found
[10/27/2025, 11:45:04 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:45:06 PM] [ERROR] [GET_PROJECT_buget] Assigner private token not found
[10/27/2025, 11:46:07 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:46:11 PM] [ERROR] [GET_PROJECT_buget] Assigner private token not found
[10/27/2025, 11:46:18 PM] [ERROR] [GET_PROJECT_buget] Assigner private token not found
[10/27/2025, 11:46:46 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:46:48 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:46:57 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:11:17 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:11:41 PM] [INFO] [GET_PROJECT_buget] Fetching buget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/28/2025, 9:11:41 PM] [INFO] [GET_PROJECT_buget] No buget found for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/28/2025, 9:11:52 PM] [INFO] [SET_PROJECT_buget] Creating new buget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/28/2025, 9:11:52 PM] [ERROR] [PG_QUERY_FUNC] null value in column "total_buget" of relation "projects_bugets" violates not-null constraint
[10/28/2025, 9:11:52 PM] [ERROR] [SET_PROJECT_buget] null value in column "total_buget" of relation "projects_bugets" violates not-null constraint
[10/28/2025, 9:20:02 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:20:15 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:20:17 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:20:33 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:20:35 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:20:40 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:20:42 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:20:46 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:20:56 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:21:00 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:21:03 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:21:06 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:21:08 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:21:13 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:21:15 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:21:18 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:21:26 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:21:29 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:21:36 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:21:42 PM] [ERROR] [SET_PROJECT_buget] Total buget is required
[10/28/2025, 9:21:42 PM] [ERROR] [SET_PROJECT_buget] Total buget must be a positive number
[10/28/2025, 9:22:10 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:22:20 PM] [INFO] [SET_PROJECT_buget] Creating new buget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/28/2025, 9:22:20 PM] [INFO] [SET_PROJECT_buget] buget created successfully for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk with ID: 2
[10/28/2025, 9:22:41 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:22:43 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:22:45 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:23:04 PM] [INFO] [GET_PROJECT_buget] Fetching buget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/28/2025, 9:23:04 PM] [INFO] [GET_PROJECT_buget] Retrieved buget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/28/2025, 9:29:25 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:29:39 PM] [INFO] [SET_PROJECT_buget] Creating new buget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/28/2025, 9:29:39 PM] [INFO] [SET_PROJECT_buget] buget created successfully for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk with ID: 3
[10/28/2025, 9:29:41 PM] [INFO] [GET_PROJECT_buget] Fetching buget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/28/2025, 9:29:41 PM] [INFO] [GET_PROJECT_buget] Retrieved buget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/28/2025, 9:52:14 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:52:25 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:52:39 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:52:45 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:52:58 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 9:55:35 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 10:32:22 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 10:32:25 PM] [INFO] [GET_PROJECT_BUGET] Fetching buget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/28/2025, 10:32:25 PM] [INFO] [GET_PROJECT_BUGET] Retrieved buget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/28/2025, 10:32:32 PM] [INFO] [SET_PROJECT_BUGET] Creating new buget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/28/2025, 10:32:32 PM] [ERROR] [PG_QUERY_FUNC] duplicate key value violates unique constraint "projects_bugets_projecttoken_key"
[10/28/2025, 10:32:32 PM] [ERROR] [SET_PROJECT_BUGET] duplicate key value violates unique constraint "projects_bugets_projecttoken_key"
[10/28/2025, 10:35:41 PM] [INFO] [SET_PROJECT_BUGET] Creating new buget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/28/2025, 10:35:41 PM] [INFO] [SET_PROJECT_BUGET] Buget created successfully for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk with token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjE2ODM3NDF9.r1zqrQvlo7kmyTtSBh0HLeRgZZMDhLNJ9oXb8oCkTEY
[10/28/2025, 10:35:44 PM] [INFO] [SET_PROJECT_BUGET] Creating new buget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/28/2025, 10:35:44 PM] [INFO] [SET_PROJECT_BUGET] Buget created successfully for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk with token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjE2ODM3NDR9._E7R_JHW-r2WOnRLM-TUFGKhcLCbDK1XJTAgdup4DjE
[10/28/2025, 10:35:47 PM] [INFO] [GET_PROJECT_BUGET] Fetching buget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/28/2025, 10:35:47 PM] [INFO] [GET_PROJECT_BUGET] Retrieved buget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/28/2025, 10:35:49 PM] [INFO] [GET_PROJECT_BUGET] Fetching buget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/28/2025, 10:35:49 PM] [INFO] [GET_PROJECT_BUGET] Retrieved buget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/28/2025, 10:36:38 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 10:36:40 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 10:36:52 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/28/2025, 10:37:07 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
